"Date","Subways: Total Estimated Ridership","Subways: % of Comparable Pre-Pandemic Day","Buses: Total Estimated Ridership","Buses: % of Comparable Pre-Pandemic Day","LIRR: Total Estimated Ridership","LIRR: % of Comparable Pre-Pandemic Day","Metro-North: Total Estimated Ridership","Metro-North: % of Comparable Pre-Pandemic Day","Access-A-Ride: Total Scheduled Trips","Access-A-Ride: % of Comparable Pre-Pandemic Day","Bridges and Tunnels: Total Traffic","Bridges and Tunnels: % of Comparable Pre-Pandemic Day","Staten Island Railway: Total Estimated Ridership","Staten Island Railway: % of Comparable Pre-Pandemic Day"
"06/15/2024","2,431,810","75%","851,502","61%","142,102","116%","122,409","77%","23,580","136%","1,022,686","104%","3,104","61%"
"06/16/2024","1,897,201","72%","653,946","60%","130,133","132%","109,303","100%","24,200","134%","997,278","108%","2,245","58%"
"06/17/2024","3,325,104","59%","1,172,762","55%","242,993","73%","215,241","73%","31,993","109%","956,532","97%","6,466","40%"
"06/18/2024","3,920,839","70%","1,314,338","61%","260,538","78%","242,116","82%","36,105","123%","988,738","101%","7,713","48%"
"06/19/2024","3,046,320","116%","1,068,172","98%","232,540","236%","206,582","189%","26,431","146%","969,020","105%","4,527","116%"
"06/20/2024","3,857,797","69%","1,275,626","59%","255,683","77%","227,113","77%","36,445","124%","1,020,534","104%","7,217","45%"
"06/21/2024","3,500,365","62%","1,191,812","55%","244,215","73%","211,543","72%","34,695","118%","1,022,507","104%","6,166","38%"
"06/22/2024","2,385,207","74%","793,674","57%","133,102","108%","119,962","76%","21,970","127%","977,336","99%","2,743","54%"
"06/23/2024","1,908,786","73%","648,887","60%","118,067","120%","103,892","95%","21,789","120%","953,693","103%","2,061","53%"
"06/24/2024","3,467,845","62%","1,227,231","57%","246,269","74%","213,904","72%","33,300","114%","975,173","99%","6,820","42%"
"06/25/2024","3,831,447","68%","1,269,567","59%","271,783","82%","232,410","79%","36,669","125%","1,002,164","102%","7,685","47%"
"06/26/2024","3,901,100","70%","1,267,408","59%","264,126","79%","226,518","77%","36,344","124%","1,020,784","104%","7,314","45%"
"06/27/2024","3,776,811","67%","1,214,263","56%","255,215","77%","227,648","77%","35,155","120%","1,032,517","105%","7,170","44%"
"06/28/2024","3,522,732","63%","1,141,168","53%","255,739","77%","211,914","72%","34,111","116%","1,037,403","106%","6,305","39%"
"06/29/2024","2,454,997","76%","780,229","56%","138,769","113%","119,738","75%","21,904","126%","977,287","99%","2,948","58%"
"06/30/2024","2,002,269","76%","583,751","54%","126,526","128%","108,244","99%","20,851","115%","885,430","96%","2,268","58%"
"07/01/2024","3,273,546","62%","1,156,904","56%","216,906","68%","185,943","66%","32,979","116%","954,908","99%","6,947","50%"
"07/02/2024","3,542,073","67%","1,216,755","59%","234,535","74%","207,844","73%","35,200","124%","951,968","99%","7,431","54%"
"07/03/2024","3,409,357","65%","1,198,766","58%","237,577","75%","205,176","72%","36,949","130%","1,003,052","104%","6,758","49%"
"07/04/2024","1,992,244","85%","643,119","59%","117,030","112%","101,274","95%","17,646","107%","752,680","85%","2,939","82%"
"07/05/2024","2,700,734","51%","1,001,854","48%","207,314","65%","183,222","65%","28,776","102%","854,313","89%","4,563","33%"
"07/06/2024","2,100,877","74%","758,425","56%","119,417","94%","110,386","71%","19,730","124%","857,713","93%","2,688","53%"
"07/07/2024","1,804,572","77%","642,652","59%","120,316","115%","105,041","99%","22,640","137%","909,616","103%","2,167","61%"
"07/08/2024","3,228,784","61%","1,176,713","57%","226,613","72%","199,454","70%","33,105","117%","945,690","98%","6,499","47%"
"07/09/2024","3,605,032","68%","1,236,657","60%","249,970","79%","219,843","78%","35,500","125%","927,603","96%","7,176","52%"
"07/10/2024","3,691,835","70%","1,252,733","60%","249,781","79%","210,993","75%","37,417","132%","957,143","100%","7,393","54%"
"07/11/2024","3,688,029","70%","1,233,678","60%","246,250","78%","209,174","74%","35,691","126%","993,245","103%","6,914","50%"
"07/12/2024","3,261,074","62%","1,120,310","54%","231,084","73%","191,828","68%","34,090","120%","979,245","102%","5,586","41%"
"07/13/2024","2,203,283","78%","743,154","55%","123,988","97%","107,166","69%","20,949","132%","912,958","99%","2,700","53%"
"07/14/2024","1,869,670","80%","633,752","58%","119,283","114%","97,038","91%","22,682","137%","947,148","107%","2,160","60%"
"07/15/2024","3,259,800","62%","1,160,722","56%","233,209","74%","202,008","71%","32,763","116%","950,682","99%","6,398","46%"
"07/16/2024","3,594,150","68%","1,209,152","58%","249,559","79%","220,620","78%","35,468","125%","943,841","98%","6,828","50%"
"07/17/2024","3,651,756","69%","1,210,515","58%","248,424","78%","214,137","76%","36,547","129%","956,017","99%","6,845","50%"
"07/18/2024","3,637,826","69%","1,218,605","59%","241,785","76%","211,370","75%","36,119","127%","1,005,727","105%","7,085","51%"
"07/19/2024","3,372,874","64%","1,207,102","58%","243,438","77%","206,922","73%","34,718","122%","1,018,050","106%","6,480","47%"
"07/20/2024","2,269,647","80%","803,868","60%","131,910","103%","125,050","81%","19,961","126%","980,583","106%","2,688","53%"
"07/21/2024","1,877,704","80%","659,004","60%","126,169","120%","111,438","105%","21,664","131%","962,715","109%","2,080","58%"
"07/22/2024","3,235,343","61%","1,168,226","56%","231,813","73%","215,087","76%","32,431","114%","937,858","98%","6,510","47%"
"07/23/2024","3,606,656","68%","1,211,237","58%","247,915","78%","229,841","81%","35,110","124%","928,295","97%","7,177","52%"
"07/24/2024","3,656,472","69%","1,220,410","59%","249,158","79%","224,862","79%","36,652","129%","947,798","99%","7,260","53%"
"07/25/2024","3,638,351","69%","1,220,056","59%","255,367","81%","214,281","76%","35,373","125%","990,676","103%","6,850","50%"
"07/26/2024","3,288,849","62%","1,154,709","56%","247,475","78%","201,321","71%","34,431","121%","1,012,046","105%","5,946","43%"
"07/27/2024","2,306,948","82%","809,660","60%","138,344","108%","125,101","81%","22,582","142%","982,745","106%","2,991","59%"
"07/28/2024","1,851,383","79%","645,704","59%","121,226","116%","99,516","94%","22,027","133%","943,306","107%","2,214","62%"
"07/29/2024","3,202,281","61%","1,147,023","55%","233,537","74%","200,999","71%","32,067","113%","928,486","97%","6,240","45%"
"07/30/2024","3,590,241","68%","1,228,387","59%","251,398","79%","220,120","78%","34,911","123%","937,334","98%","7,217","52%"
"07/31/2024","3,576,343","68%","1,213,507","59%","248,316","78%","213,562","75%","35,765","126%","958,860","100%","7,018","51%"
"08/01/2024","3,544,663","69%","1,208,275","60%","229,131","73%","194,439","71%","35,878","128%","1,008,364","104%","6,902","52%"
"08/02/2024","3,153,955","61%","1,111,340","55%","215,453","69%","181,008","66%","34,487","123%","987,721","102%","5,784","43%"
"08/03/2024","2,200,373","75%","741,482","54%","123,922","93%","109,769","72%","22,133","133%","938,339","98%","2,852","61%"
"08/04/2024","1,752,861","74%","588,249","53%","108,959","105%","92,383","89%","22,186","123%","885,224","96%","2,099","58%"
"08/05/2024","3,222,601","63%","1,154,644","57%","234,345","75%","192,078","70%","33,112","119%","955,722","98%","6,375","48%"
"08/06/2024","3,462,581","67%","1,130,325","56%","234,650","75%","207,212","76%","35,331","126%","898,384","92%","6,974","52%"
"08/07/2024","3,511,253","68%","1,117,450","55%","239,223","76%","202,867","74%","36,667","131%","920,296","95%","6,593","49%"
"08/08/2024","3,490,217","68%","1,108,956","55%","230,083","74%","196,259","72%","35,509","127%","940,729","97%","6,466","48%"
"08/09/2024","3,041,276","59%","1,039,488","52%","215,973","69%","170,622","63%","32,193","115%","907,512","93%","5,202","39%"
"08/10/2024","2,356,405","80%","777,613","57%","133,623","100%","119,101","79%","22,199","133%","949,079","99%","3,156","67%"
"08/11/2024","1,918,748","81%","614,435","56%","121,004","116%","103,975","100%","22,996","128%","925,152","101%","2,552","71%"
"08/12/2024","3,169,180","62%","1,106,072","55%","231,099","74%","191,415","70%","33,127","119%","925,367","95%","6,337","47%"
"08/13/2024","3,491,612","68%","1,158,412","57%","242,459","78%","205,674","75%","35,503","127%","907,386","93%","7,002","52%"
"08/14/2024","3,544,668","69%","1,182,980","59%","242,186","77%","202,330","74%","37,606","135%","961,969","99%","7,028","53%"
"08/15/2024","3,495,671","68%","1,182,864","59%","241,573","77%","196,106","72%","36,343","130%","961,969","99%","6,528","49%"
"08/16/2024","3,198,733","62%","1,123,673","56%","235,035","75%","185,953","68%","34,676","124%","1,004,704","103%","5,596","42%"
"08/17/2024","2,256,233","77%","767,022","56%","135,948","102%","112,928","74%","22,797","137%","954,849","100%","2,880","61%"
"08/18/2024","1,713,050","72%","578,595","52%","106,004","102%","82,177","79%","20,897","116%","853,807","93%","1,953","54%"
"08/19/2024","3,076,559","60%","1,090,594","54%","224,656","72%","183,503","67%","31,668","113%","931,369","96%","5,870","44%"
"08/20/2024","3,475,888","68%","1,164,259","58%","250,304","80%","211,051","77%","34,985","125%","952,393","98%","6,877","51%"
"08/21/2024","3,498,651","68%","1,159,036","57%","247,076","79%","204,853","75%","36,401","130%","958,433","99%","6,910","52%"
"08/22/2024","3,427,911","67%","1,140,225","56%","245,912","79%","199,777","73%","34,997","125%","985,469","101%","6,458","48%"
"08/23/2024","3,209,666","62%","1,095,768","54%","235,738","75%","196,218","72%","33,653","120%","999,865","103%","5,827","44%"
"08/24/2024","2,332,624","79%","776,019","56%","146,684","110%","119,252","79%","22,523","135%","975,307","102%","3,025","64%"
"08/25/2024","1,905,818","80%","629,302","57%","130,885","126%","101,267","97%","22,347","124%","946,696","103%","2,309","64%"
"08/26/2024","3,113,498","61%","1,104,199","55%","244,138","78%","186,630","68%","31,233","112%","935,864","96%","5,896","44%"
"08/27/2024","3,477,101","68%","1,177,841","58%","261,771","84%","201,834","74%","34,997","125%","949,649","98%","6,713","50%"
"08/28/2024","3,516,674","68%","1,203,770","60%","257,194","82%","195,873","72%","36,079","129%","972,274","100%","6,656","50%"
"08/29/2024","3,438,760","67%","1,203,629","60%","261,935","84%","192,714","71%","35,044","125%","992,852","102%","6,446","48%"
"08/30/2024","3,152,242","61%","1,132,406","56%","255,954","82%","195,334","72%","33,968","122%","1,004,458","103%","5,287","40%"
"08/31/2024","2,158,004","73%","771,634","56%","149,890","112%","119,313","79%","21,518","129%","923,923","96%","2,471","52%"
"09/01/2024","1,969,350","77%","658,803","60%","120,499","121%","95,622","91%","22,880","133%","896,413","101%","2,149","73%"
"09/02/2024","2,007,446","79%","629,636","57%","134,118","135%","95,598","91%","14,939","87%","854,109","97%","2,571","88%"
"09/03/2024","3,629,404","63%","1,323,572","57%","263,763","81%","220,831","77%","35,977","121%","959,389","101%","7,337","43%"
"09/04/2024","3,868,854","67%","1,372,412","59%","271,660","83%","225,508","78%","38,623","130%","935,127","98%","7,588","44%"
"09/05/2024","4,033,322","70%","1,434,726","62%","262,639","80%","220,098","76%","37,475","126%","966,058","101%","7,475","44%"
"09/06/2024","3,794,952","66%","1,397,369","60%","258,126","79%","202,757","70%","36,478","123%","999,365","105%","6,606","39%"
"09/07/2024","2,479,639","77%","841,695","60%","137,291","116%","105,974","69%","21,477","125%","912,521","96%","2,874","69%"
"09/08/2024","2,101,048","83%","724,969","66%","120,584","122%","98,767","94%","23,760","138%","914,241","103%","2,280","78%"
"09/09/2024","3,811,344","66%","1,458,059","63%","247,296","76%","214,384","74%","35,327","119%","930,561","98%","7,724","45%"
"09/10/2024","4,182,405","72%","1,510,358","65%","263,027","80%","233,290","81%","38,230","129%","951,227","100%","8,495","50%"
"09/11/2024","4,214,707","73%","1,489,570","64%","263,710","81%","228,252","79%","39,031","131%","921,770","97%","9,107","53%"
"09/12/2024","4,232,214","73%","1,515,496","65%","263,539","80%","228,985","79%","38,778","131%","984,868","103%","8,174","48%"
"09/13/2024","3,911,412","68%","1,442,741","62%","254,945","78%","219,747","76%","37,297","126%","1,016,290","107%","6,989","41%"
"09/14/2024","2,706,474","84%","913,017","65%","145,099","123%","136,864","90%","24,473","143%","1,002,908","105%","3,402","82%"
"09/15/2024","2,161,737","85%","705,080","64%","128,174","129%","118,303","113%","24,154","141%","946,517","107%","2,605","89%"
"09/16/2024","3,821,428","66%","1,473,843","63%","254,618","78%","215,601","75%","35,319","119%","934,600","98%","7,734","45%"
"09/17/2024","4,189,311","73%","1,536,675","66%","268,678","82%","232,809","81%","38,667","130%","945,571","99%","8,503","50%"
"09/18/2024","4,232,888","73%","1,539,412","66%","281,624","86%","229,697","80%","39,300","132%","963,160","101%","8,603","50%"
"09/19/2024","4,255,184","74%","1,547,727","67%","272,725","83%","226,944","79%","38,515","130%","997,635","105%","8,367","49%"
"09/20/2024","3,933,048","68%","1,471,585","63%","270,065","82%","215,673","75%","36,687","124%","1,019,966","107%","7,029","41%"
"09/21/2024","2,744,632","85%","950,423","68%","160,150","135%","133,469","87%","23,611","138%","980,137","103%","3,736","90%"
"09/22/2024","2,131,910","84%","737,715","67%","131,192","132%","102,752","98%","23,164","135%","936,446","106%","2,560","88%"
"09/23/2024","3,898,806","68%","1,457,916","63%","250,701","77%","218,237","76%","34,543","116%","922,758","97%","7,994","47%"
"09/24/2024","4,323,708","75%","1,500,066","65%","270,524","83%","240,779","83%","37,488","126%","927,777","97%","8,938","52%"
"09/25/2024","4,335,945","75%","1,487,149","64%","267,471","82%","236,202","82%","37,829","127%","935,215","98%","8,904","52%"
"09/26/2024","4,295,723","74%","1,467,648","63%","264,141","81%","228,971","79%","37,117","125%","963,068","101%","8,216","48%"
"09/27/2024","3,945,383","68%","1,438,524","62%","258,258","79%","221,034","77%","35,968","121%","1,010,505","106%","6,992","41%"
"09/28/2024","2,557,982","79%","863,284","62%","134,408","114%","132,177","87%","22,142","129%","922,085","97%","2,928","71%"
"09/29/2024","1,959,363","77%","664,367","60%","117,572","118%","102,805","98%","22,340","130%","869,345","98%","2,782","95%"
"09/30/2024","3,849,138","67%","1,486,507","64%","256,547","78%","217,897","76%","34,701","117%","924,795","97%","7,845","46%"
"10/01/2024","4,179,363","73%","1,546,620","69%","247,737","79%","218,836","75%","38,299","129%","922,245","99%","9,716","54%"
"10/02/2024","4,068,073","71%","1,504,660","67%","258,854","82%","227,124","78%","38,330","129%","941,325","101%","9,543","53%"
"10/03/2024","3,627,528","63%","1,333,760","59%","246,586","78%","217,197","75%","35,952","121%","926,733","100%","7,273","41%"
"10/04/2024","3,506,654","61%","1,313,232","58%","251,723","80%","215,328","74%","35,371","119%","947,077","102%","6,361","36%"
"10/05/2024","2,710,146","81%","953,356","68%","142,657","126%","148,928","98%","23,775","134%","966,857","102%","4,086","90%"
"10/06/2024","2,065,294","84%","737,760","74%","111,257","122%","105,906","101%","23,677","129%","912,831","108%","2,534","67%"
"10/07/2024","3,847,055","67%","1,478,576","66%","250,063","80%","220,335","76%","35,754","120%","917,137","99%","8,833","49%"
"10/08/2024","4,256,950","74%","1,554,839","69%","275,934","88%","235,974","81%","39,100","131%","945,208","102%","10,259","57%"
"10/09/2024","4,313,211","75%","1,555,422","69%","275,026","88%","234,694","81%","39,877","134%","957,877","103%","9,926","56%"
"10/10/2024","4,329,161","75%","1,534,201","68%","272,428","87%","233,710","80%","38,911","131%","990,350","107%","9,495","53%"
"10/11/2024","3,868,564","67%","1,435,476","64%","257,460","82%","224,122","77%","37,027","124%","1,021,735","110%","7,977","45%"
"10/12/2024","2,587,128","78%","940,999","68%","149,093","131%","144,234","95%","23,525","133%","957,916","101%","3,409","75%"
"10/13/2024","2,153,429","88%","744,866","74%","127,619","140%","120,235","114%","23,354","127%","911,708","108%","3,574","95%"
"10/14/2024","3,066,851","53%","1,076,828","48%","240,501","77%","225,263","77%","26,827","90%","911,104","98%","5,124","29%"
"10/15/2024","4,284,818","75%","1,487,706","66%","270,652","86%","249,266","86%","38,788","130%","955,621","103%","9,369","52%"
"10/16/2024","4,357,117","76%","1,495,298","66%","279,608","89%","236,091","81%","39,579","133%","950,912","102%","9,783","55%"
"10/17/2024","4,309,633","75%","1,496,057","66%","277,906","88%","237,000","81%","37,093","125%","942,095","102%","9,362","52%"
"10/18/2024","4,030,998","70%","1,443,165","64%","272,133","87%","229,999","79%","36,732","123%","993,477","107%","8,258","46%"
"10/19/2024","2,752,350","83%","930,951","67%","156,212","138%","147,214","97%","24,053","136%","981,152","104%","3,588","79%"
"10/20/2024","2,176,476","89%","733,271","73%","127,452","140%","122,789","117%","24,069","131%","939,223","111%","2,606","69%"
"10/21/2024","3,842,315","67%","1,471,964","65%","247,857","79%","219,983","76%","35,133","118%","937,487","101%","8,975","50%"
"10/22/2024","4,218,881","73%","1,528,809","68%","268,294","85%","237,771","82%","38,656","130%","932,275","100%","9,628","54%"
"10/23/2024","4,276,606","74%","1,537,563","68%","257,031","82%","233,881","80%","39,211","132%","930,104","100%","9,629","54%"
